id,DAY(upload_date),MONTH(upload_date),YEAR(upload_date),q_score,likes_rate,comments_rate,like_count,dislike_count,view_count,COUNT(comments),MEAN(comments.likes),SKEW(comments.likes),MIN(comments.likes),NUM_UNIQUE(comments.username),channel_id,username_channel
3I1IfwJh6ag,23,2,2018,0.887109217,7.405169203,0.810462959,25684,1536,3468388,141,19.36879433,7.37622861,2,134,UCZE88kYvCKUKjM-G0uc8Duw,Khoai Lang Thang / Food and Travel
IviNQC5hjaw,1,3,2018,0.94193145,11.76121552,0.959535574,26402,789,2244836,125,22.328,5.168652746,2,120,UCZE88kYvCKUKjM-G0uc8Duw,Khoai Lang Thang / Food and Travel
3St-mUByEDM,8,3,2018,0.891719745,14.45030268,4.393673111,148,8,10242,1,3,,3,1,UCxa35ypw3h6pezfr3RPhYKg,Hương Sơn Green
#NAME?,9,3,2018,0.944678461,10.24289603,0.999913025,17312,492,1690147,131,13.90839695,5.695155901,2,125,UCZE88kYvCKUKjM-G0uc8Duw,Khoai Lang Thang / Food and Travel
32PZxOcnrEM,10,3,2018,0.739195231,4.323450455,1.015973777,583,87,134846,3,5.333333333,1.732050808,4,2,UCxa35ypw3h6pezfr3RPhYKg,Hương Sơn Green
TTqugqq-gQE,11,3,2018,0.887966805,12.79305681,5.241208296,227,13,17744,8,3.625,1.494575233,2,7,UCxa35ypw3h6pezfr3RPhYKg,Hương Sơn Green
E5tTiMkh5z0,13,3,2018,0.617742564,3.843003999,0.768971091,6227,1471,1620347,38,9.289473684,2.544883486,2,36,UCxa35ypw3h6pezfr3RPhYKg,Hương Sơn Green
EECy6-moQ1k,14,3,2018,0.943562418,9.247272438,0.986196356,8936,259,966339,72,13.77777778,4.479239561,2,68,UCZE88kYvCKUKjM-G0uc8Duw,Khoai Lang Thang / Food and Travel
JRRu04exNvw,14,3,2018,0.792756539,4.377594586,0.914868082,445,51,101654,1,3,,3,1,UCxa35ypw3h6pezfr3RPhYKg,Hương Sơn Green
8tPXtVAfyfE,20,3,2018,0.756756757,4.697847682,0.703642384,227,31,48320,5,3.6,-0.404796009,2,3,UCNyaiKq1S8y3lC4Iktsi6fg,Quang Chau
8oR4nEPm8Eo,21,3,2018,0.798679868,9.130580732,2.65189661,272,30,29790,7,2.428571429,0.374165739,2,6,UCxa35ypw3h6pezfr3RPhYKg,Hương Sơn Green
lpa5I8N30zc,21,3,2018,0.664936862,2.381139711,0.686334326,4812,968,2020881,58,8.896551724,5.94730504,2,56,UCOwLNrvzxD9Ak78BYbtetEw,Nhịp Sống Tây Bắc
LpvsWlJogcQ,23,3,2018,0.933333333,17.443774,8.447613823,159,5,9115,5,2.6,-0.608580619,2,4,UCxa35ypw3h6pezfr3RPhYKg,Hương Sơn Green
SsSOkL0Ukcw,23,3,2018,0.950720522,12.57860355,1.249381922,18545,468,1474329,110,23.94545455,5.528605363,2,106,UCZE88kYvCKUKjM-G0uc8Duw,Khoai Lang Thang / Food and Travel
XfJ1CteQxV0,23,3,2018,0.835978836,9.469007211,2.512928837,520,46,54916,4,3,1.414213562,2,4,UCOwLNrvzxD9Ak78BYbtetEw,Nhịp Sống Tây Bắc
kp_qZfiHJ6E,26,3,2018,0.832142857,3.943711089,0.461552663,769,70,194994,3,2.333333333,1.732050808,2,3,UCOwLNrvzxD9Ak78BYbtetEw,Nhịp Sống Tây Bắc
r4VxV7jzraM,26,3,2018,0.822107081,3.718626296,0.522160049,527,51,141719,5,2.6,1.257788237,2,5,UCOwLNrvzxD9Ak78BYbtetEw,Nhịp Sống Tây Bắc
XrhZ7VDlp7Y,29,3,2018,0.885989011,4.716494668,0.646283526,686,41,145447,6,3.333333333,0.918629952,2,6,UCOwLNrvzxD9Ak78BYbtetEw,Nhịp Sống Tây Bắc
gyDIqp82sx0,29,3,2018,0.836879433,7.339136371,3.129089151,129,11,17577,5,2.2,2.236067977,2,5,UCNyaiKq1S8y3lC4Iktsi6fg,Quang Chau
