video_id,Like,No like,From 1 from 10,From 11 to 100,From 101 to 1K,More than 1K
22UIxq29DEY,136,18,132,4,0,0
23Ep0jLKGtE,62,36,62,0,0,0
23GAQBw9uVM,0,5,0,0,0,0
23QpMHRdvkI,161,899,130,25,6,0
23bGrAcgytc,93,301,74,18,1,0
23jt53lhBsM,84,205,77,6,1,0
24NiLY6tecE,12,32,12,0,0,0
24fJ_WN7hjM,5,20,3,2,0,0
25-WLaGWmAg,2,40,2,0,0,0
25EQZEwskGI,4,23,4,0,0,0
25WcKGwWf9Q,63,221,61,1,1,0
25nD6NsRnTk,59,23,59,0,0,0
26kz7Qna5SE,83,1089,68,14,1,0
27tFcdUH47w,205,1102,186,18,1,0
289o5VFv9Vw,1,1,1,0,0,0
28J01z9f0Dk,13,10,12,1,0,0
28o0f-61TpI,282,1318,218,54,10,0
292Dij44F_Q,23,75,23,0,0,0
29CZsfF6JA8,1,7,1,0,0,0
29s03Tf4jYc,91,18,88,3,0,0
2AOREOa-M5Q,73,530,61,12,0,0
2AiUqT1aGW8,95,343,85,9,1,0
2B6CuT9eehY,15,38,15,0,0,0
2BNJCE6qgtM,150,433,142,7,1,0
2BV2FECZh60,12,12,12,0,0,0
2BsUVVvxcy0,2,1,2,0,0,0
2C8WO2EBGWE,26,4,22,4,0,0
2CGKMukoia8,37,11,37,0,0,0
2COcZsxcRNY,0,1,0,0,0,0
2CQQY6GBYzQ,527,1053,356,136,33,2
2C_G0OMU3-s,33,100,24,9,0,0
2D0JBfOlk1w,14,9,14,0,0,0
2DOWyeQ4Yv4,4,15,4,0,0,0
2DRAHRXNNf0,58,100,53,5,0,0
2DW1Ew8Syhs,9,10,9,0,0,0
2EO9wp_YyBI,0,1,0,0,0,0
2Eg1OsmIL2o,2,3,2,0,0,0
2EvUuc60uzw,13,18,13,0,0,0
2EytDUzFQNs,5,1,5,0,0,0
2F-QUy-kN6A,9,53,9,0,0,0
2GFojGCr44E,66,30,64,2,0,0
2GML4puhC24,13,41,12,1,0,0
2GdaM7qKsus,120,133,108,12,0,0
2H6QCCh2k5k,186,1058,154,27,5,0
2H9QYNJSOK4,199,570,191,8,0,0
2HhSvg65E4U,7,1,7,0,0,0
2Ht3aYvmxNs,49,18,47,2,0,0
2I4ZcLymEr0,0,1,0,0,0,0
2Ipqs-s8r_I,60,34,60,0,0,0
2IvEPGLHaDY,17,48,16,1,0,0
2IwnRN-7RdI,21,16,21,0,0,0
2J4p0PgTzgM,3,1,3,0,0,0
2L2brdKjtzc,25,8,25,0,0,0
2LB2-hBowNg,226,1028,197,26,3,0
2LIP2rBP-zU,0,4,0,0,0,0
2MqaCgo3Qm4,156,121,143,11,2,0
2OEpb5ZH6vo,14,17,14,0,0,0
2OkiiCByJsc,106,210,99,7,0,0
2P4gh2vG4pE,7,9,7,0,0,0
2PGvVrMAA5k,5,3,5,0,0,0
2PT7emDB5So,84,909,74,7,3,0
2P_uTr0Kc4Y,2,12,2,0,0,0
2Pvl8NGZLM0,55,96,49,6,0,0
2QBjIn6UK48,236,1344,197,32,7,0
2QDahAb8gsU,3,0,3,0,0,0
2QkdLx5j9hg,161,251,159,2,0,0
2R_E6hUgFJ4,37,47,36,1,0,0
2S6CbbRDKww,81,322,78,3,0,0
2SBEcTBlE1M,148,119,134,14,0,0
2SGkeDE43RM,16,24,13,3,0,0
2SKz021Z3X4,7,3,7,0,0,0
2SYK39sxiQk,322,1097,240,68,14,0
2T5X8ZvyuXU,94,582,85,8,1,0
2T9ZcKILCtE,50,20,48,2,0,0
2TJKcJNC25w,210,211,167,40,3,0
2TMOUxsawvY,0,7,0,0,0,0
2TjCYKeCKBQ,13,77,12,1,0,0
2TncN9iWbCg,484,1096,345,101,36,2
2Ty1UW6cBfc,5,1,5,0,0,0
2UXj8X6FNvw,12,10,12,0,0,0
2VS0mO9zn0Q,80,57,75,5,0,0
2VbUyi3Xqbk,185,861,167,16,2,0
2VoG0HooEH4,79,192,78,1,0,0
2VpFHv6DB0I,0,1,0,0,0,0
2WieswTKoe4,55,31,52,3,0,0
2WrzBPFEfVs,20,59,20,0,0,0
